mirna,TARGET-10-PARUAT,TARGET-10-PAPDKJ,TARGET-10-PARUFL,TARGET-10-PARWRJ,TARGET-10-PAPBZK,TARGET-10-PAPZST,TARGET-10-PANZPJ,TARGET-10-PANYZE,TARGET-10-PANZXC,TARGET-10-PANXDR,TARGET-10-PAPBSY,TARGET-10-PANYGB,TARGET-10-PANYEJ,TARGET-10-PANXDB,TARGET-10-PAPZNK,TARGET-10-PARACA,TARGET-10-PAPSPN,TARGET-10-PARARJ,TARGET-10-PARAKF,TARGET-10-PANWFB,TARGET-10-PAPTAT,TARGET-10-PAPRMM,TARGET-10-PARAPE,TARGET-10-PANEPX,TARGET-10-PAPVTA,TARGET-10-PAPIJB,TARGET-10-PAPIJM,TARGET-10-PARUBK,TARGET-10-PARVWD,TARGET-10-PARXMC,TARGET-10-PARWVN,TARGET-10-PASCIU,TARGET-10-PASFXA,TARGET-10-PAPTLM,TARGET-10-PANWYH,TARGET-10-PANWYK,TARGET-10-PANWHW,TARGET-10-PANWVW,TARGET-10-PANVYR,TARGET-10-PANWHJ,TARGET-10-PANUSN,TARGET-10-PANUHA,TARGET-10-PASILP,TARGET-10-PAMXHJ,TARGET-10-PANCVR,TARGET-10-PAMXSP,TARGET-10-PANEUH,TARGET-10-PANGIF,TARGET-10-PANFNZ,TARGET-10-PANJPG,TARGET-10-PANIEU,TARGET-10-PANRAL,TARGET-10-PARSLL,TARGET-10-PAPFWH,TARGET-10-PAPEWB,TARGET-10-PAPESW,TARGET-10-PAPEJN,TARGET-10-PAPEFH,TARGET-10-PAPECF,TARGET-10-PAPGNC,TARGET-10-PAPGFP,TARGET-10-PASREU,TARGET-10-PASNJI,TARGET-10-PARFWD,TARGET-10-PARJLA,TARGET-10-PAPAXK,TARGET-10-PAPBCI,TARGET-10-PARBRK,TARGET-10-PARBVI,TARGET-10-PARDWE,TARGET-10-PARFLV,TARGET-10-PARFTR,TARGET-10-PARDWN,TARGET-10-PARMSP,TARGET-10-PARNMF,TARGET-10-PARMXF,TARGET-10-PASRYW,TARGET-10-PARUNW,TARGET-10-PARUYU,TARGET-10-PAPDUF,TARGET-10-PAPBES,TARGET-10-PAPBFN,TARGET-10-PAPCUR,TARGET-10-PATCTI,TARGET-10-PASSXJ,TARGET-10-PASUBW,TARGET-10-PASHUI,TARGET-10-PASKHT,TARGET-10-PASMGZ,TARGET-10-PASLMB,TARGET-10-PASLCJ,TARGET-10-PASRWZ,TARGET-10-PANDBX,TARGET-10-PARBGL,TARGET-10-PANLGK,TARGET-10-PAPFXN,TARGET-10-PAPAIZ,TARGET-10-PAPAGK,TARGET-10-PARXCD,TARGET-10-PANATY,TARGET-10-PASTLM,TARGET-10-PASTSR,TARGET-10-PASTYT,TARGET-10-PASUWG,TARGET-10-PASXFY,TARGET-10-PATAAH,TARGET-10-PAPLTZ,TARGET-10-PAPJHR,TARGET-10-PAPJHB,TARGET-10-PAPJXI,TARGET-10-PAPJIB,TARGET-10-PAPLDL,TARGET-10-PASXZH,TARGET-10-PARJZZ,TARGET-10-PAPKNJ,TARGET-10-PARJSR,TARGET-10-PARSZH,TARGET-10-PAPNMY,TARGET-10-PARPRW,TARGET-10-PAPNNX,TARGET-10-PANJWJ,TARGET-10-PAPHPX,TARGET-10-PANKDT,TARGET-10-PAPGGT,TARGET-10-PANKGK,TARGET-10-PARUGP,TARGET-10-PARPZJ,TARGET-10-PAPLUG,TARGET-10-PARSGC,TARGET-10-PANKMB,TARGET-10-PAPRCS,TARGET-10-PARPNM,TARGET-10-PANPJI,TARGET-10-PARNSH,TARGET-10-PANRDC,TARGET-10-PANTSM,TARGET-10-PATEVE,TARGET-10-PATELK,TARGET-10-PAPHEK,TARGET-10-PANRYM,TARGET-10-PANSPW,TARGET-10-PASIGB,TARGET-10-PASDYM,TARGET-10-PAPRFE,TARGET-10-PAPKNC,TARGET-10-PAPIYG,TARGET-10-PARIAD,TARGET-10-PAPMYD,TARGET-10-PAPNFY,TARGET-10-PARLEK,TARGET-10-PAPMVB,TARGET-10-PANKRG,TARGET-10-PANLIC,TARGET-10-PANKAK,TARGET-10-PANTTZ,TARGET-10-PATCJJ,TARGET-10-PANSXG,TARGET-10-PAPHGD,TARGET-10-PANSBR,TARGET-10-PAPGYC,TARGET-10-PAPIGX,TARGET-10-PANRWG,TARGET-10-PAPHJF,TARGET-10-PANSUL,TARGET-10-PARZYX,TARGET-10-PARYAJ,TARGET-10-PANSHK
hsa-mir-1246,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-5581,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-mir-320c-2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,1,0,2,2,0,0,2,0,2,2,0,0,2,0,2,0,0,0,2,0,1,2,2,2,2,0,2,0,2,2,2,2,1,2,2,2,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0
hsa-mir-3936,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
hsa-mir-4703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hsa-mir-4780,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hsa-mir-22,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,2,0,2,0,2,0,2,2,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,0
hsa-mir-6893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
hsa-mir-6849,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
hsa-mir-3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
