['new_mirna', '1', '0', '1', '0.87626', '0.86819', '0.5587', '0.9248', '0.7418', '0.88137', '0.55872', '0.6839']
['new_mirna_pos', '1', '1', '1', '0.86885', '0.86309', '0.5587', '0.9172', '0.738', '0.87093', '0.55872', '0.68074']
['new_mirna_pos', '1', '2', '1', '0.87497', '0.87041', '0.5587', '0.928', '0.7433', '0.8858', '0.55872', '0.68523']
['new_mirna_pos', '1', '3', '1', '0.87419', '0.86803', '0.5587', '0.9275', '0.7431', '0.88521', '0.55872', '0.68506']
['new_mirna_pos', '1', '4', '1', '0.87133', '0.86274', '0.5587', '0.9252', '0.742', '0.88196', '0.55872', '0.68408']
['new_mirna_pos', '1', '5', '1', '0.87316', '0.86652', '0.5587', '0.9214', '0.7401', '0.8767', '0.55872', '0.68249']
['new_mirna_pos', '1', '6', '1', '0.87136', '0.86458', '0.5587', '0.9227', '0.7407', '0.87845', '0.55872', '0.68302']
['new_mirna_pos', '1', '7', '1', '0.87134', '0.86461', '0.5587', '0.9206', '0.7396', '0.87554', '0.55872', '0.68214']
['new_mirna_pos', '1', '8', '1', '0.87162', '0.86785', '0.5587', '0.924', '0.7413', '0.8802', '0.55872', '0.68355']
['new_mirna_pos', '1', '9', '1', '0.87592', '0.87283', '0.5587', '0.9292', '0.744', '0.88758', '0.55872', '0.68577']
['new_mirna_pos', '5', '0', '1', '0.87251', '0.61697', '0.5587', '0.9231', '0.8624', '0.59239', '0.55872', '0.57506']
['new_mirna_pos', '5', '1', '1', '0.87463', '0.6201', '0.5587', '0.9281', '0.8665', '0.60847', '0.55872', '0.58253']
['new_mirna_pos', '5', '2', '1', '0.87446', '0.62262', '0.5587', '0.9265', '0.8652', '0.60319', '0.55872', '0.58011']
['new_mirna_pos', '5', '3', '1', '0.87321', '0.61721', '0.5587', '0.9254', '0.8643', '0.59977', '0.55872', '0.57852']
['new_mirna_pos', '5', '4', '1', '0.87386', '0.62038', '0.5587', '0.926', '0.8648', '0.60155', '0.55872', '0.57935']
['new_mirna_pos', '5', '5', '1', '0.87387', '0.62097', '0.5587', '0.9243', '0.8633', '0.59599', '0.55872', '0.57676']
['new_mirna_pos', '5', '6', '1', '0.87319', '0.61635', '0.5587', '0.924', '0.8631', '0.59518', '0.55872', '0.57638']
['new_mirna_pos', '5', '7', '1', '0.87293', '0.61326', '0.5587', '0.9251', '0.864', '0.59869', '0.55872', '0.57802']
['new_mirna_pos', '5', '8', '1', '0.87432', '0.62296', '0.5587', '0.9268', '0.8655', '0.6043', '0.55872', '0.58062']
['new_mirna_pos', '5', '9', '1', '0.87448', '0.619', '0.5587', '0.9275', '0.866', '0.60637', '0.55872', '0.58157']
['new_mirna_pos', '10', '0', '1', '0.87361', '0.47532', '0.5587', '0.9266', '0.8932', '0.43226', '0.55872', '0.48742']
['new_mirna_pos', '10', '1', '1', '0.8743', '0.47663', '0.5587', '0.9267', '0.8933', '0.43261', '0.55872', '0.48765']
['new_mirna_pos', '10', '2', '1', '0.87524', '0.47876', '0.5587', '0.9271', '0.8936', '0.43396', '0.55872', '0.4885']
['new_mirna_pos', '10', '3', '1', '0.87238', '0.47153', '0.5587', '0.9247', '0.8914', '0.42599', '0.55872', '0.48341']
['new_mirna_pos', '10', '4', '1', '0.87347', '0.47495', '0.5587', '0.9251', '0.8918', '0.42723', '0.55872', '0.48421']
['new_mirna_pos', '10', '5', '1', '0.87338', '0.47776', '0.5587', '0.9264', '0.893', '0.43155', '0.55872', '0.48697']
['new_mirna_pos', '10', '6', '1', '0.8737', '0.47381', '0.5587', '0.9255', '0.8922', '0.42862', '0.55872', '0.4851']
['new_mirna_pos', '10', '7', '1', '0.87446', '0.47683', '0.5587', '0.9265', '0.893', '0.43177', '0.55872', '0.48711']
['new_mirna_pos', '10', '8', '1', '0.8739', '0.47005', '0.5587', '0.9261', '0.8927', '0.4305', '0.55872', '0.4863']
['new_mirna_pos', '10', '9', '1', '0.87303', '0.47339', '0.5587', '0.9249', '0.8916', '0.42668', '0.55872', '0.48386']
