['new_mirna', '1', '0', '1', '0.78044', '0.76845', '0.5837', '0.839', '0.7113', '0.78383', '0.58365', '0.66909']
['new_mirna_pos', '1', '1', '1', '0.77043', '0.75882', '0.5837', '0.8278', '0.7057', '0.77222', '0.58365', '0.66482']
['new_mirna_pos', '1', '2', '1', '0.77308', '0.76855', '0.5837', '0.8291', '0.7064', '0.77352', '0.58365', '0.6653']
['new_mirna_pos', '1', '3', '1', '0.77465', '0.76665', '0.5837', '0.8361', '0.7099', '0.78073', '0.58365', '0.66796']
['new_mirna_pos', '1', '4', '1', '0.77543', '0.76396', '0.5837', '0.8325', '0.7081', '0.777', '0.58365', '0.66659']
['new_mirna_pos', '1', '5', '1', '0.7718', '0.76749', '0.5837', '0.8221', '0.7029', '0.76644', '0.58365', '0.66267']
['new_mirna_pos', '1', '6', '1', '0.77798', '0.76834', '0.5837', '0.8363', '0.71', '0.78095', '0.58365', '0.66804']
['new_mirna_pos', '1', '7', '1', '0.76953', '0.75846', '0.5837', '0.8255', '0.7046', '0.76985', '0.58365', '0.66394']
['new_mirna_pos', '1', '8', '1', '0.77068', '0.76582', '0.5837', '0.8194', '0.7015', '0.76368', '0.58365', '0.66164']
['new_mirna_pos', '1', '9', '1', '0.77177', '0.76068', '0.5837', '0.834', '0.7088', '0.77853', '0.58365', '0.66715']
['new_mirna_pos', '5', '0', '1', '0.77518', '0.42721', '0.5837', '0.8319', '0.7906', '0.40988', '0.58365', '0.48157']
['new_mirna_pos', '5', '1', '1', '0.77529', '0.42945', '0.5837', '0.8349', '0.793', '0.41418', '0.58365', '0.48452']
['new_mirna_pos', '5', '2', '1', '0.77561', '0.42862', '0.5837', '0.8365', '0.7943', '0.41649', '0.58365', '0.4861']
['new_mirna_pos', '5', '3', '1', '0.77606', '0.43222', '0.5837', '0.8351', '0.7932', '0.41449', '0.58365', '0.48474']
['new_mirna_pos', '5', '4', '1', '0.77408', '0.42524', '0.5837', '0.8324', '0.791', '0.41061', '0.58365', '0.48207']
['new_mirna_pos', '5', '5', '1', '0.77633', '0.4336', '0.5837', '0.8346', '0.7928', '0.41381', '0.58365', '0.48427']
['new_mirna_pos', '5', '6', '1', '0.77254', '0.42248', '0.5837', '0.8271', '0.7865', '0.403', '0.58365', '0.47679']
['new_mirna_pos', '5', '7', '1', '0.77391', '0.42271', '0.5837', '0.8315', '0.7902', '0.40921', '0.58365', '0.48111']
['new_mirna_pos', '5', '8', '1', '0.77501', '0.42566', '0.5837', '0.8332', '0.7916', '0.41171', '0.58365', '0.48283']
['new_mirna_pos', '5', '9', '1', '0.775', '0.42742', '0.5837', '0.8347', '0.7928', '0.41387', '0.58365', '0.48431']
['new_mirna_pos', '10', '0', '1', '0.77578', '0.2821', '0.5837', '0.8343', '0.8115', '0.26046', '0.58365', '0.36019']
['new_mirna_pos', '10', '1', '1', '0.77568', '0.28135', '0.5837', '0.8345', '0.8117', '0.26076', '0.58365', '0.36047']
['new_mirna_pos', '10', '2', '1', '0.77724', '0.28415', '0.5837', '0.8372', '0.8142', '0.26395', '0.58365', '0.3635']
['new_mirna_pos', '10', '3', '1', '0.77389', '0.27941', '0.5837', '0.8321', '0.8095', '0.25794', '0.58365', '0.35776']
['new_mirna_pos', '10', '4', '1', '0.77486', '0.28259', '0.5837', '0.8321', '0.8095', '0.25791', '0.58365', '0.35774']
['new_mirna_pos', '10', '5', '1', '0.7756', '0.28601', '0.5837', '0.8346', '0.8118', '0.26088', '0.58365', '0.36059']
['new_mirna_pos', '10', '6', '1', '0.7754', '0.27928', '0.5837', '0.8346', '0.8118', '0.26083', '0.58365', '0.36054']
['new_mirna_pos', '10', '7', '1', '0.77554', '0.28092', '0.5837', '0.8341', '0.8113', '0.26027', '0.58365', '0.36']
['new_mirna_pos', '10', '8', '1', '0.77424', '0.27983', '0.5837', '0.8328', '0.8102', '0.25876', '0.58365', '0.35855']
['new_mirna_pos', '10', '9', '1', '0.77431', '0.28318', '0.5837', '0.8319', '0.8094', '0.25777', '0.58365', '0.3576']
